Year,Make,Model,Engine (kW),Transmission Type ,Consumption City (kWh/100 km),Consumption Long Route (kWh/100 km),Consumption Average (kWh/100 km),Emission CO2 (g/km)
2012,Mitsubishi,i-MiEV,49,Auto,16.9,21.4,19.15,7
2012,Nissan,LEAF,80,Auto,19.3,23,21.15,7
2013,Ford,Focus Electric,107,Auto,19,21.1,20.05,4
2013,Mitsubishi,i-MiEV,49,Auto,16.9,21.4,19.15,7
2013,Nissan,LEAF,80,Auto,19.3,23,21.15,7
2013,smart,fortwo electric drive cabriolet,35,Auto,17.2,22.5,19.85,8
2013,smart,fortwo electric drive coupe,35,Auto,17.2,22.5,19.85,8
2013,Tesla,Model S (40 kWh),225,Auto,22.4,21.9,22.15,6
2013,Tesla,Model S (60 kWh),225,Auto,22.2,21.7,21.95,10
2013,Tesla,Model S (85 kWh),270,Auto,23.8,23.2,23.5,12
2013,Tesla,Model S Performance,310,Auto,23.9,23.2,23.55,12
2014,Chevrolet,Spark EV,104,Auto,16,19.6,17.8,7
2014,Ford,Focus Electric,107,Auto,19,21.1,20.05,4
2014,Mitsubishi,i-MiEV,49,Auto,16.9,21.4,19.15,7
2014,Nissan,LEAF,80,Auto,16.5,20.8,18.65,5
2014,smart,fortwo electric drive cabriolet,35,Auto,17.2,22.5,19.85,8
2014,smart,fortwo electric drive coupe,35,Auto,17.2,22.5,19.85,8
2014,Tesla,Model S (60 kWh),225,Auto,22.2,21.7,21.95,10
2014,Tesla,Model S (85 kWh),270,Auto,23.8,23.2,23.5,12
2014,Tesla,Model S Performance,310,Auto,23.9,23.2,23.55,12
2015,BMW,i3,125,Auto,15.2,18.8,17,4
2015,Chevrolet,Spark EV,104,Auto,16,19.6,17.8,7
2015,Ford,Focus Electric,107,Auto,19,21.1,20.05,4
2015,Kia,Soul EV,81,Auto,17.5,22.7,20.1,4
2015,Mitsubishi,i-MiEV,49,Auto,16.9,21.4,19.15,7
2015,Nissan,LEAF,80,Auto,16.5,20.8,18.65,5
2015,smart,fortwo electric drive cabriolet,35,Auto,17.2,22.5,19.85,8
2015,smart,fortwo electric drive coupe,35,Auto,17.2,22.5,19.85,8
2015,Tesla,Model S (60 kWh),285,Auto,22.2,21.7,21.95,10
2015,Tesla,Model S (70 kWh),285,Auto,23.8,23.2,23.5,12
2015,Tesla,Model S (85/90 kWh),285,Auto,23.8,23.2,23.5,12
